"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:31:31.0066945Z","failover","scenario_start","start scenario execution"
"2026-05-05T16:31:31.0197650Z","failover","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:31:33.7827896Z","failover","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:31:33.8019192Z","failover","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:31:36.4136867Z","failover","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:31:36.4136867Z","failover","suite_stress_start","suite=csredis"
"2026-05-05T16:31:36.4684451Z","failover","suite_stress_start","suite=stackexchange"
"2026-05-05T16:31:56.5097766Z","failover","fault_injection_start","scenario=failover"
"2026-05-05T16:32:28.4230755Z","failover","fault_injection_end","scenario=failover"
"2026-05-05T16:32:28.4230755Z","failover","csredis_cacheshell_probe_start","start extra probe"
"2026-05-05T16:32:33.2387651Z","failover","csredis_cacheshell_probe_end","log=artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis-cacheshell-probe\probe.log"
"2026-05-05T16:32:33.2869889Z","failover","suite_stress_end","suite=csredis"
"2026-05-05T16:32:33.2879930Z","failover","suite_stress_end","suite=stackexchange"
"2026-05-05T16:32:33.3456888Z","failover","scenario_end","scenario summary generated"
