"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","20","5","97.98","140.52","168.29","20","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-get","get","100","20","579.49","152.33","153.54","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-pipeline","pipeline","100","20","493.70","163.98","165.89","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-cacheshell","cacheshell","100","20","375.40","204.33","206.25","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-slot","slot","100","20","533.96","168.95","169.00","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-node","node","100","5","65.77","94.01","219.51","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","mixed","all","300","50","14.56","10030.04","15122.12","209","91","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\csredis\run-iter-01\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","warmup","all","20","5","74.75","154.41","194.15","20","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-get","get","100","20","559.81","156.09","157.89","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-pipeline","pipeline","100","20","470.50","168.23","169.89","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-cacheshell","cacheshell","100","20","378.43","184.89","188.08","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-slot","slot","100","20","521.05","175.63","177.62","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-node","node","100","5","66.19","92.27","324.09","100","0","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","mixed","all","300","50","10.60","18542.44","18630.02","265","35","OK","artifacts\chaos-10x\batch-one-look-failover\iter-01\run-iter-01\failover\stackexchange\run-iter-01\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
