"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","50","10","122.81","180.26","248.90","50","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-get","get","200","40","995.43","174.72","175.94","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-pipeline","pipeline","200","40","891.63","188.73","190.56","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-cacheshell","cacheshell","200","40","460.30","315.10","324.05","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-slot","slot","200","40","1159.44","154.26","155.57","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-node","node","100","10","3.87","9608.75","17977.60","43","57","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","mixed","all","800","80","383.92","2032.95","2066.51","0","800","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\csredis\run-iter-01\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","warmup","all","50","10","121.32","206.38","345.49","50","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-get","get","200","40","1094.55","146.96","149.96","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-pipeline","pipeline","200","40","975.42","150.40","152.60","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-cacheshell","cacheshell","200","40","436.76","272.32","275.39","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-slot","slot","200","40","1208.17","137.15","138.75","200","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-node","node","100","10","60.54","284.09","314.25","100","0","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","mixed","all","800","80","24.67","17850.48","26199.22","721","79","OK","artifacts\chaos-10x\batch-real10x-4fix\iter-01\run-iter-01\failover\stackexchange\run-iter-01\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
