"Iteration","Scenario","Suite","Success","Failed","SuccessRate","MixedQps","MixedP95","MixedP99","WorstMethodP95Ratio","Verdict"
"1","failover","csredis","2639","14061","15.8","3516.81","1.22","14.78","2.67","FAIL"
"1","failover","stackexchange","16116","584","96.5","445.9","728.01","1133.55","9.81","FAIL"
"1","node-down","csredis","0","16700","0","3514.85","1.9","14.36","8.38","FAIL"
"1","node-down","stackexchange","12991","3709","77.79","583.54","528.33","729.37","9.33","FAIL"
"1","scale-in","csredis","0","16700","0","3633.2","0.75","8.31","2.58","FAIL"
"1","scale-in","stackexchange","13000","3700","77.84","526.68","604.23","975.27","9.77","FAIL"
"2","failover","csredis","2623","14077","15.71","3480.19","1.29","29.4","1.06","FAIL"
"2","failover","stackexchange","15479","1221","92.69","454.67","692.38","1345.87","8.48","FAIL"
"2","node-down","csredis","0","16700","0","3550.63","1.21","16.23","3.24","FAIL"
"2","node-down","stackexchange","12988","3712","77.77","500.79","660.24","1116.04","10.88","FAIL"
"2","scale-in","csredis","0","16700","0","3543.8","1.29","13.11","4.31","FAIL"
"2","scale-in","stackexchange","13000","3700","77.84","560.01","600.91","859.39","8.87","FAIL"
"3","failover","csredis","2635","14065","15.78","3507.43","1.01","18.29","1.02","FAIL"
"3","failover","stackexchange","16131","569","96.59","446.88","713.85","1151.75","11.98","FAIL"
"3","node-down","csredis","0","16700","0","3490.42","1.97","26.51","7.16","FAIL"
"3","node-down","stackexchange","12939","3761","77.48","594.78","541.46","761.65","9.36","FAIL"
"3","scale-in","csredis","0","16700","0","3556.13","1.06","12.16","2","FAIL"
"3","scale-in","stackexchange","13000","3700","77.84","586.97","513.83","749.4","9.78","FAIL"
"4","failover","csredis","2593","14107","15.53","3506.58","1.18","17.53","0.91","FAIL"
"4","failover","stackexchange","16143","557","96.66","533.47","522.27","858.31","10.1","FAIL"
"4","node-down","csredis","0","16700","0","3535.97","1.19","12.1","4.79","FAIL"
"4","node-down","stackexchange","12960","3740","77.6","590.5","559.22","743.79","7.7","FAIL"
"4","scale-in","csredis","0","16700","0","3504.13","1.44","15.26","5.34","FAIL"
"4","scale-in","stackexchange","13000","3700","77.84","576.24","559.58","812.06","7.47","FAIL"
"5","failover","csredis","16664","36","99.78","90.63","4893.64","10375.44","96.75","FAIL"
"5","failover","stackexchange","14311","2389","85.69","459.92","642.61","1036.12","12.43","FAIL"
"5","node-down","csredis","13000","3700","77.84","90.38","3922.78","11355.4","203.33","FAIL"
"5","node-down","stackexchange","13156","3544","78.78","529.08","601.46","825.09","8.68","FAIL"
"5","scale-in","csredis","13000","3700","77.84","104.73","4271.91","10523.55","93.85","FAIL"
"5","scale-in","stackexchange","13000","3700","77.84","482.67","674.84","898.41","5.95","FAIL"
