"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"failover","csredis","warmup","all","500","10","156.51","268.52","856.15","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\warmup.log"
"failover","csredis","baseline-get","get","2000","40","4280.35","10.39","128.74","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\baseline-get.log"
"failover","csredis","baseline-pipeline","pipeline","2000","40","299.48","109.23","5049.44","1964","36","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\baseline-pipeline.log"
"failover","csredis","baseline-cacheshell","cacheshell","2000","40","1638.25","38.04","129.06","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\baseline-cacheshell.log"
"failover","csredis","baseline-slot","slot","2000","40","3994.68","15.96","125.60","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\baseline-slot.log"
"failover","csredis","baseline-node","node","200","10","45.72","117.75","3965.06","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\baseline-node.log"
"failover","csredis","mixed","all","8000","80","90.63","4893.64","10375.44","8000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\csredis\run-iter-05\mixed.log"
"failover","stackexchange","warmup","all","500","10","271.23","129.28","290.72","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\warmup.log"
"failover","stackexchange","baseline-get","get","2000","40","3773.95","13.73","123.22","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\baseline-get.log"
"failover","stackexchange","baseline-pipeline","pipeline","2000","40","165.99","30.27","5912.19","111","1889","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\baseline-pipeline.log"
"failover","stackexchange","baseline-cacheshell","cacheshell","2000","40","1355.06","43.18","152.00","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\baseline-cacheshell.log"
"failover","stackexchange","baseline-slot","slot","2000","40","5433.57","7.07","129.45","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\baseline-slot.log"
"failover","stackexchange","baseline-node","node","200","10","98.29","187.52","338.60","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\baseline-node.log"
"failover","stackexchange","mixed","all","8000","80","459.92","642.61","1036.12","7500","500","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\failover\stackexchange\run-iter-05\mixed.log"
