"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"node-down","csredis","warmup","all","500","10","294.26","143.80","192.43","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\warmup.log"
"node-down","csredis","baseline-get","get","2000","40","3324.91","13.28","173.49","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\baseline-get.log"
"node-down","csredis","baseline-pipeline","pipeline","2000","40","1726.57","79.43","188.98","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\baseline-pipeline.log"
"node-down","csredis","baseline-cacheshell","cacheshell","2000","40","2106.61","29.05","119.66","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\baseline-cacheshell.log"
"node-down","csredis","baseline-slot","slot","2000","40","4859.41","10.03","132.20","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\baseline-slot.log"
"node-down","csredis","baseline-node","node","200","10","89.04","158.48","232.43","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\baseline-node.log"
"node-down","csredis","mixed","all","8000","80","90.38","3922.78","11355.40","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\csredis\run-iter-05\mixed.log"
"node-down","stackexchange","warmup","all","500","10","340.82","125.05","160.44","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\warmup.log"
"node-down","stackexchange","baseline-get","get","2000","40","3698.66","15.38","116.92","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\baseline-get.log"
"node-down","stackexchange","baseline-pipeline","pipeline","2000","40","2106.88","32.26","126.11","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\baseline-pipeline.log"
"node-down","stackexchange","baseline-cacheshell","cacheshell","2000","40","2393.57","23.29","125.35","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\baseline-cacheshell.log"
"node-down","stackexchange","baseline-slot","slot","2000","40","4919.85","8.76","118.90","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\baseline-slot.log"
"node-down","stackexchange","baseline-node","node","200","10","13.64","5719.66","7557.46","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\baseline-node.log"
"node-down","stackexchange","mixed","all","8000","80","529.08","601.46","825.09","6556","1444","OK","artifacts\chaos-10x\batch-real5x10\iter-05\run-iter-05\node-down\stackexchange\run-iter-05\mixed.log"
