"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:12:30.4732849Z","node-down","scenario_start","start scenario execution"
"2026-05-05T16:12:30.4859577Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:12:32.9127661Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:12:32.9139358Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:12:35.3712184Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:12:35.3722245Z","node-down","suite_stress_start","suite=csredis"
"2026-05-05T16:12:35.4265761Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-05T16:12:38.4630033Z","node-down","fault_injection_start","scenario=node-down"
"2026-05-05T16:12:45.4239673Z","node-down","fault_injection_end","scenario=node-down"
"2026-05-05T16:12:57.4712715Z","node-down","suite_stress_end","suite=csredis"
"2026-05-05T16:12:57.4717716Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-05T16:12:57.5344507Z","node-down","scenario_end","scenario summary generated"
