"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"node-down","csredis","warmup","all","10","2","41.50","137.31","137.31","10","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-get","get","30","6","211.90","126.02","126.03","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-pipeline","pipeline","30","6","146.62","163.74","163.75","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-cacheshell","cacheshell","30","6","169.14","144.87","144.90","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-slot","slot","30","6","201.34","132.43","132.44","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-node","node","100","4","43.42","146.77","1129.89","100","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","mixed","all","80","10","281.55","143.69","148.53","80","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\csredis\run-iter-01\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","warmup","all","10","2","43.68","139.50","139.50","10","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-get","get","30","6","186.99","129.32","129.32","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-pipeline","pipeline","30","6","144.55","162.55","162.56","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-cacheshell","cacheshell","30","6","161.58","138.71","138.71","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-slot","slot","30","6","185.70","145.03","145.07","30","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-node","node","100","4","65.63","114.66","202.40","100","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","mixed","all","80","10","181.19","180.30","180.34","80","0","OK","artifacts\chaos-10x\batch-verify-4fix\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
