"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:51:05.7928655Z","failover","scenario_start","start scenario execution"
"2026-05-05T16:51:05.8034517Z","failover","app_restart_start","restart csredis-tests-app and app"
"2026-05-05T16:51:07.9612320Z","failover","app_restart_end","app services restarted"
"2026-05-05T16:51:07.9632748Z","failover","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:51:10.7781492Z","failover","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:51:10.7801488Z","failover","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:51:13.5785667Z","failover","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:51:13.5785667Z","failover","suite_stress_start","suite=csredis"
"2026-05-05T16:51:13.6563305Z","failover","suite_stress_start","suite=stackexchange"
"2026-05-05T16:51:16.7074333Z","failover","fault_injection_start","scenario=failover"
"2026-05-05T16:51:24.1314828Z","failover","fault_injection_end","scenario=failover"
"2026-05-05T16:51:24.1314828Z","failover","csredis_cacheshell_probe_start","start extra probe"
"2026-05-05T16:51:29.3041626Z","failover","csredis_cacheshell_probe_end","log=artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis-cacheshell-probe\probe.log"
"2026-05-05T16:51:43.4866782Z","failover","suite_stress_end","suite=csredis"
"2026-05-05T16:51:43.4871831Z","failover","suite_stress_end","suite=stackexchange"
"2026-05-05T16:51:43.5410799Z","failover","scenario_end","scenario summary generated"
