"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","10","2","42.22","149.16","149.16","10","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-get","get","30","6","7.03","4245.98","4246.01","14","16","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-pipeline","pipeline","30","6","13.68","2114.78","2114.79","30","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-cacheshell","cacheshell","30","6","177.24","143.09","143.11","30","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-slot","slot","30","6","169.29","161.67","161.69","30","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-node","node","100","4","60.40","124.86","292.83","100","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","mixed","all","80","10","275.31","148.83","157.54","80","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\csredis\run-iter-01\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","warmup","all","10","2","40.55","167.61","167.61","10","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","baseline-get","get","30","6","6.85","4229.54","4366.15","19","11","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","baseline-pipeline","pipeline","30","6","167.38","156.27","156.29","30","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","baseline-cacheshell","cacheshell","30","6","143.14","163.07","163.10","30","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","baseline-slot","slot","30","6","180.15","153.09","153.11","30","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","baseline-node","node","100","4","58.78","154.75","187.44","100","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","mixed","all","80","10","214.33","149.34","164.37","80","0","OK","artifacts\chaos-10x\batch-verify-forward-restart-switch\iter-01\run-iter-01\failover\stackexchange\run-iter-01\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
