"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"scale-in","csredis","warmup","all","500","20","10.57","13390.96","18645.13","500","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-get","get","5000","100","98.56","6792.32","7721.53","5000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-pipeline","pipeline","5000","100","135.72","3637.66","16097.77","4902","98","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-cacheshell","cacheshell","5000","100","140.12","5629.38","7028.20","4918","82","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-slot","slot","5000","100","2469.09","128.39","189.54","5000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","baseline-node","node","500","25","12.79","9170.47","10258.88","500","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","csredis","mixed","all","20000","200","161.93","6865.07","8431.96","20000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\csredis\run-20260507-011304\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","warmup","all","500","20","6.58","15300.94","25528.33","500","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-get","get","5000","100","6972.83","22.35","112.90","5000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-pipeline","pipeline","5000","100","4439.23","37.44","150.61","5000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","5000","100","2235.00","75.87","148.30","5000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-slot","slot","5000","100","6928.94","19.89","159.72","5000","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","baseline-node","node","500","25","2.19","12927.57","13896.26","500","0","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","mixed","all","20000","200","17.37","72852.95","155373.82","19956","44","OK","artifacts\chaos-compare\run-20260507-011304\scale-in\stackexchange\run-20260507-011304\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
