"TimestampUtc","Scenario","Event","Detail"
"2026-05-07T15:44:47.7986970Z","node-down","scenario_start","start scenario execution"
"2026-05-07T15:44:47.8086593Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-07T15:44:50.6052343Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-07T15:44:50.6067391Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-07T15:44:52.9593920Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-07T15:44:52.9628926Z","node-down","persistent_pair_down_start","stop node-down pair before stress: master=redis-cluster-1, replica=redis-cluster-4"
"2026-05-07T15:44:54.3942693Z","node-down","persistent_pair_down_verified_start","master_running=False, replica_running=False"
"2026-05-07T15:44:54.3942693Z","node-down","suite_stress_start","suite=csredis"
"2026-05-07T15:44:54.4485509Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-07T15:44:54.4842642Z","node-down","csredis_cacheshell_probe_start","start extra probe"
"2026-05-07T15:50:15.8165399Z","node-down","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-20260507-234447\node-down\csredis-cacheshell-probe\probe.log"
"2026-05-07T16:21:21.6256542Z","node-down","suite_stress_end","suite=csredis"
"2026-05-07T16:21:21.6261542Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-07T16:21:21.8221663Z","node-down","persistent_pair_down_verified_end","master_running=False, replica_running=False"
"2026-05-07T16:21:21.8236747Z","node-down","persistent_pair_recover_start","recover node-down pair: master=redis-cluster-1, replica=redis-cluster-4"
"2026-05-07T16:21:23.7844842Z","node-down","persistent_pair_recover_end","recover completed: master=redis-cluster-1, replica=redis-cluster-4"
"2026-05-07T16:21:57.7807240Z","node-down","scenario_end","scenario summary generated"
