"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"node-down","csredis","warmup","all","500","20","2.73","16754.56","23370.59","309","191","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-get","get","5000","100","37.76","11660.32","15712.78","4525","475","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-pipeline","pipeline","5000","100","882.47","388.01","515.84","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-cacheshell","cacheshell","5000","100","1245.62","187.05","235.31","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-slot","slot","5000","100","5703.97","47.94","109.95","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-node","node","500","25","13.04","1885.70","4099.85","500","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","mixed","all","20000","200","464.06","1675.17","2192.13","20000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\csredis\run-20260507-234447\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","warmup","all","500","20","6.67","14040.99","21718.62","467","33","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","baseline-get","get","5000","100","5919.23","31.61","119.85","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","baseline-pipeline","pipeline","5000","100","4728.47","34.75","118.87","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","baseline-cacheshell","cacheshell","5000","100","2673.27","60.38","125.22","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","baseline-slot","slot","5000","100","8321.71","15.71","147.59","5000","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","baseline-node","node","500","25","2.22","13210.73","14854.69","500","0","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","mixed","all","20000","200","10.73","120301.04","175565.76","19857","143","OK","artifacts\chaos-compare\run-20260507-234447\node-down\stackexchange\run-20260507-234447\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
