"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","500","20","1.31","28659.80","31261.13","366","134","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-get","get","5000","100","8.30","22884.05","28293.52","3343","1657","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-pipeline","pipeline","5000","100","12.15","17049.93","18763.35","3348","1652","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-cacheshell","cacheshell","5000","100","9.03","17834.04","19760.80","2187","2813","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-slot","slot","5000","100","76.01","1967.73","2202.59","5000","0","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","baseline-node","node","500","25","5.88","6598.15","8444.84","500","0","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","csredis","mixed","all","20000","200","43.31","12182.77","17044.30","15122","4878","OK","artifacts\chaos-compare\run-20260508-004125\failover\csredis\run-20260508-004125\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","warmup","all","500","20","11.81","9166.93","9976.43","465","35","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-get","get","5000","100","7155.62","22.18","102.21","5000","0","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-pipeline","pipeline","5000","100","5095.23","30.68","131.79","4584","416","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-cacheshell","cacheshell","5000","100","2872.68","51.82","119.99","4905","95","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-slot","slot","5000","100","11543.19","9.92","98.81","5000","0","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-node","node","500","25","3.83","7823.74","9957.18","500","0","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","mixed","all","20000","200","54.34","13802.29","46750.39","19958","42","OK","artifacts\chaos-compare\run-20260508-004125\failover\stackexchange\run-20260508-004125\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
