"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:33:52.8377524Z","failover","scenario_start","start scenario execution"
"2026-05-05T16:33:52.8468432Z","failover","app_restart_start","restart csredis-tests-app and app"
"2026-05-05T16:33:55.0066696Z","failover","app_restart_end","app services restarted"
"2026-05-05T16:33:55.0082454Z","failover","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:33:57.4569409Z","failover","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:33:57.4589579Z","failover","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:33:59.8096418Z","failover","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:33:59.8106461Z","failover","suite_stress_start","suite=csredis"
"2026-05-05T16:33:59.8636057Z","failover","suite_stress_start","suite=stackexchange"
"2026-05-05T16:34:29.8981688Z","failover","fault_injection_start","scenario=failover"
"2026-05-05T16:35:18.2427137Z","failover","fault_injection_end","scenario=failover"
"2026-05-05T16:35:18.2427137Z","failover","csredis_cacheshell_probe_start","start extra probe"
"2026-05-05T16:35:31.7763203Z","failover","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-real-all-restart-apps\failover\csredis-cacheshell-probe\probe.log"
"2026-05-05T16:39:42.2852705Z","failover","suite_stress_end","suite=csredis"
"2026-05-05T16:39:42.2852705Z","failover","suite_stress_end","suite=stackexchange"
"2026-05-05T16:39:42.3465835Z","failover","scenario_end","scenario summary generated"
"2026-05-05T16:39:42.3495846Z","node-down","scenario_start","start scenario execution"
"2026-05-05T16:39:42.3500837Z","node-down","app_restart_start","restart csredis-tests-app and app"
"2026-05-05T16:39:45.6322927Z","node-down","app_restart_end","app services restarted"
"2026-05-05T16:39:45.6322927Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:39:48.2773140Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:39:48.2773140Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:39:51.0884700Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:39:51.0889681Z","node-down","suite_stress_start","suite=csredis"
"2026-05-05T16:39:51.1218693Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-05T16:40:21.1647880Z","node-down","fault_injection_start","scenario=node-down"
"2026-05-05T16:41:08.5781791Z","node-down","fault_injection_end","scenario=node-down"
"2026-05-05T16:41:08.5781791Z","node-down","csredis_cacheshell_probe_start","start extra probe"
"2026-05-05T16:42:24.3247783Z","node-down","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis-cacheshell-probe\probe.log"
"2026-05-05T16:45:17.9294164Z","node-down","suite_stress_end","suite=csredis"
"2026-05-05T16:45:17.9299172Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-05T16:45:17.9424390Z","node-down","scenario_end","scenario summary generated"
"2026-05-05T16:45:17.9459478Z","scale-in","scenario_start","start scenario execution"
"2026-05-05T16:45:17.9464486Z","scale-in","app_restart_start","restart csredis-tests-app and app"
"2026-05-05T16:45:21.0161336Z","scale-in","app_restart_end","app services restarted"
"2026-05-05T16:45:21.0166364Z","scale-in","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:45:23.7021120Z","scale-in","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:45:23.7021120Z","scale-in","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:45:26.4492084Z","scale-in","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:45:26.4492084Z","scale-in","suite_stress_start","suite=csredis"
"2026-05-05T16:45:26.4935734Z","scale-in","suite_stress_start","suite=stackexchange"
"2026-05-05T16:45:56.5344571Z","scale-in","fault_injection_start","scenario=scale-in"
"2026-05-05T16:46:44.1959588Z","scale-in","fault_injection_end","scenario=scale-in"
"2026-05-05T16:46:44.1959588Z","scale-in","csredis_cacheshell_probe_start","start extra probe"
"2026-05-05T16:47:49.7111869Z","scale-in","csredis_cacheshell_probe_end","log=artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis-cacheshell-probe\probe.log"
"2026-05-05T16:50:13.3604672Z","scale-in","suite_stress_end","suite=csredis"
"2026-05-05T16:50:13.3609714Z","scale-in","suite_stress_end","suite=stackexchange"
"2026-05-05T16:50:13.3746487Z","scale-in","scenario_end","scenario summary generated"
