"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"node-down","csredis","warmup","all","500","20","28.73","2781.16","14950.02","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","csredis","baseline-get","get","5000","100","4308.50","44.59","126.12","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","csredis","baseline-pipeline","pipeline","5000","100","2941.88","58.02","212.21","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","csredis","baseline-cacheshell","cacheshell","5000","100","1577.53","127.28","200.41","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","csredis","baseline-slot","slot","5000","100","7875.03","23.61","119.65","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","csredis","baseline-node","node","500","25","23.66","3283.16","9382.18","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","csredis","mixed","all","20000","200","76.69","12383.74","24848.78","19835","165","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\csredis\run-real-all-restart-apps\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
"node-down","stackexchange","warmup","all","500","20","254.69","327.45","476.62","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-get","get","5000","100","6688.14","22.20","113.04","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-pipeline","pipeline","5000","100","4147.98","49.90","134.14","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-cacheshell","cacheshell","5000","100","2963.25","49.82","135.63","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-slot","slot","5000","100","8331.25","18.05","123.77","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-node","node","500","25","94.35","648.72","747.86","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","mixed","all","20000","200","227.05","1653.85","9752.01","19999","1","OK","artifacts\chaos-compare\run-real-all-restart-apps\node-down\stackexchange\run-real-all-restart-apps\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
