"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"scale-in","csredis","warmup","all","500","20","33.76","3151.72","8903.26","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","csredis","baseline-get","get","5000","100","5938.34","25.98","133.46","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","csredis","baseline-pipeline","pipeline","5000","100","2118.52","90.77","220.93","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","csredis","baseline-cacheshell","cacheshell","5000","100","1988.30","97.85","145.70","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","csredis","baseline-slot","slot","5000","100","5809.04","32.90","187.39","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","csredis","baseline-node","node","500","25","52.56","1204.27","3357.69","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","csredis","mixed","all","20000","200","85.32","10533.29","27517.21","19602","398","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\csredis\run-real-all-restart-apps\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
"scale-in","stackexchange","warmup","all","500","20","235.25","388.45","555.68","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","baseline-get","get","5000","100","6476.52","23.22","135.41","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","baseline-pipeline","pipeline","5000","100","4715.17","34.44","134.62","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","5000","100","3046.21","46.48","133.86","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","baseline-slot","slot","5000","100","9158.00","13.52","127.39","5000","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","baseline-node","node","500","25","85.40","754.03","1045.12","500","0","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"scale-in","stackexchange","mixed","all","20000","200","233.43","1692.46","10303.13","19959","41","OK","artifacts\chaos-compare\run-real-all-restart-apps\scale-in\stackexchange\run-real-all-restart-apps\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
