"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"failover","csredis","warmup","all","500","20","30.62","3876.08","6898.08","500","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-get","get","5000","100","3254.80","64.22","168.49","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-pipeline","pipeline","5000","100","3335.68","51.96","129.04","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-cacheshell","cacheshell","5000","100","1831.70","98.69","270.30","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-slot","slot","5000","100","10088.64","13.26","111.39","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","baseline-node","node","500","25","7.00","7206.24","31006.54","250","250","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","csredis","mixed","all","20000","200","7786.50","1.80","23.91","0","20000","OK","artifacts\chaos-compare\run-real-one-look-2\failover\csredis\run-real-one-look-2\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"failover","stackexchange","warmup","all","500","20","300.69","333.69","453.82","500","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\warmup.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-get","get","5000","100","6442.07","26.41","112.41","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\baseline-get.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-pipeline","pipeline","5000","100","4699.23","31.09","137.24","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\baseline-pipeline.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-cacheshell","cacheshell","5000","100","2846.48","52.74","113.06","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\baseline-cacheshell.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-slot","slot","5000","100","9090.11","15.95","116.89","5000","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\baseline-slot.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","baseline-node","node","500","25","94.53","524.00","689.49","500","0","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\baseline-node.log","timeout_dominant","mixed_p95_high_with_failures"
"failover","stackexchange","mixed","all","20000","200","204.79","3023.10","15808.36","19997","3","OK","artifacts\chaos-compare\run-real-one-look-2\failover\stackexchange\run-real-one-look-2\mixed.log","timeout_dominant","mixed_p95_high_with_failures"
