"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:13:18.9148184Z","node-down","scenario_start","start scenario execution"
"2026-05-05T16:13:18.9233385Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:13:18.9298773Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:13:18.9313888Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:13:18.9313888Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:13:18.9313888Z","node-down","suite_stress_start","suite=csredis"
"2026-05-05T16:13:18.9594689Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-05T16:13:18.9740704Z","node-down","fault_injection_start","scenario=node-down"
"2026-05-05T16:13:18.9858040Z","node-down","fault_injection_end","scenario=node-down"
"2026-05-05T16:13:18.9863035Z","node-down","csredis_cacheshell_probe_start","start extra probe"
"2026-05-05T16:13:18.9903280Z","node-down","csredis_cacheshell_probe_end","log="
"2026-05-05T16:13:18.9935267Z","node-down","suite_stress_end","suite=csredis"
"2026-05-05T16:13:18.9940378Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-05T16:13:19.0346052Z","node-down","scenario_end","scenario summary generated"
