"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:10:56.5184856Z","failover","scenario_start","start scenario execution"
"2026-05-05T16:10:56.5320162Z","failover","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:10:56.5395268Z","failover","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:10:56.5415266Z","failover","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:10:56.5415266Z","failover","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:10:56.5420268Z","failover","suite_stress_start","suite=csredis"
"2026-05-05T16:10:56.5782416Z","failover","suite_stress_start","suite=stackexchange"
"2026-05-05T16:10:56.5933394Z","failover","fault_injection_start","scenario=failover"
"2026-05-05T16:10:56.6048735Z","failover","fault_injection_end","scenario=failover"
"2026-05-05T16:10:56.6099150Z","failover","suite_stress_end","suite=csredis"
"2026-05-05T16:10:56.6109195Z","failover","suite_stress_end","suite=stackexchange"
"2026-05-05T16:10:56.6552577Z","failover","scenario_end","scenario summary generated"
"2026-05-05T16:10:56.6572605Z","node-down","scenario_start","start scenario execution"
"2026-05-05T16:10:56.6577604Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:10:56.6577604Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:10:56.6577604Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:10:56.6577604Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:10:56.6582597Z","node-down","suite_stress_start","suite=csredis"
"2026-05-05T16:10:56.6642959Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-05T16:10:56.6713187Z","node-down","fault_injection_start","scenario=node-down"
"2026-05-05T16:10:56.6748339Z","node-down","fault_injection_end","scenario=node-down"
"2026-05-05T16:10:56.6753449Z","node-down","suite_stress_end","suite=csredis"
"2026-05-05T16:10:56.6753449Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-05T16:10:56.6823955Z","node-down","scenario_end","scenario summary generated"
"2026-05-05T16:10:56.6849072Z","scale-in","scenario_start","start scenario execution"
"2026-05-05T16:10:56.6849072Z","scale-in","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:10:56.6849072Z","scale-in","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:10:56.6849072Z","scale-in","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:10:56.6854075Z","scale-in","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:10:56.6854075Z","scale-in","suite_stress_start","suite=csredis"
"2026-05-05T16:10:56.6915925Z","scale-in","suite_stress_start","suite=stackexchange"
"2026-05-05T16:10:56.6986355Z","scale-in","fault_injection_start","scenario=scale-in"
"2026-05-05T16:10:56.7016614Z","scale-in","fault_injection_end","scenario=scale-in"
"2026-05-05T16:10:56.7026661Z","scale-in","suite_stress_end","suite=csredis"
"2026-05-05T16:10:56.7026661Z","scale-in","suite_stress_end","suite=stackexchange"
"2026-05-05T16:10:56.7092148Z","scale-in","scenario_end","scenario summary generated"
