"TimestampUtc","Scenario","Event","Detail"
"2026-05-05T16:11:06.4943206Z","node-down","scenario_start","start scenario execution"
"2026-05-05T16:11:06.5023286Z","node-down","readiness_probe_start","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:11:08.9388790Z","node-down","readiness_probe_ok","suite=csredis target=http://127.0.0.1:50051"
"2026-05-05T16:11:08.9398794Z","node-down","readiness_probe_start","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:11:11.4716114Z","node-down","readiness_probe_ok","suite=stackexchange target=http://127.0.0.1:50052"
"2026-05-05T16:11:11.4716114Z","node-down","suite_stress_start","suite=csredis"
"2026-05-05T16:11:11.5258179Z","node-down","suite_stress_start","suite=stackexchange"
"2026-05-05T16:11:16.5734564Z","node-down","fault_injection_start","scenario=node-down"
"2026-05-05T16:11:26.5911707Z","node-down","fault_injection_end","scenario=node-down"
"2026-05-05T16:11:49.5292778Z","node-down","suite_stress_end","suite=csredis"
"2026-05-05T16:11:49.5297823Z","node-down","suite_stress_end","suite=stackexchange"
"2026-05-05T16:11:49.5816283Z","node-down","scenario_end","scenario summary generated"
