"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log","FailureClass","FailureReason"
"node-down","csredis","warmup","all","20","5","109.59","120.82","138.66","20","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-get","get","80","20","512.86","137.53","138.77","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-pipeline","pipeline","80","20","264.65","230.28","233.27","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-cacheshell","cacheshell","80","20","358.30","176.78","178.85","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-slot","slot","80","20","440.21","168.11","170.09","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","baseline-node","node","100","5","41.71","242.26","277.78","100","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","csredis","mixed","all","200","40","12.76","9503.04","13055.96","200","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\csredis\run-verify-real-4fix\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","warmup","all","20","5","103.12","137.86","146.52","20","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\warmup.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-get","get","80","20","449.60","157.77","159.51","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\baseline-get.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-pipeline","pipeline","80","20","276.09","209.66","212.43","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\baseline-pipeline.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-cacheshell","cacheshell","80","20","338.69","157.23","159.24","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\baseline-cacheshell.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-slot","slot","80","20","475.27","151.80","153.78","80","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\baseline-slot.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","baseline-node","node","100","5","39.25","285.17","365.77","100","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\baseline-node.log","mixed_or_unknown","no_single_dominant_pattern"
"node-down","stackexchange","mixed","all","200","40","227.12","452.27","493.18","200","0","OK","artifacts\chaos-compare\run-verify-real-4fix\node-down\stackexchange\run-verify-real-4fix\mixed.log","mixed_or_unknown","no_single_dominant_pattern"
